episode,reward,avg10,epsilon,states,transitions
382,-250.0,-250.0,0.0737,1371,184100
383,-250.0,-250.0,0.0733,1371,184600
384,-250.0,-250.0,0.073,1371,185100
385,-250.0,-250.0,0.0726,1371,185600
386,-250.0,-250.0,0.0722,1371,186100
387,-250.0,-250.0,0.0719,1371,186600
388,-250.0,-250.0,0.0715,1371,187100
389,-250.0,-250.0,0.0711,1371,187600
390,-250.0,-250.0,0.0708,1371,188100
391,-250.0,-250.0,0.0704,1371,188600
392,-250.0,-250.0,0.0701,1371,189100
393,-250.0,-250.0,0.0697,1371,189600
394,-250.0,-250.0,0.0694,1371,190100
395,-250.0,-250.0,0.069,1371,190600
396,-250.0,-250.0,0.0687,1371,191100
397,-250.0,-250.0,0.0683,1371,191600
398,-250.0,-250.0,0.068,1371,192100
399,-250.0,-250.0,0.0677,1371,192600
400,-250.0,-250.0,0.0673,1371,193100
401,-250.0,-250.0,0.067,1371,193600
402,-250.0,-250.0,0.0667,1371,194100
403,-250.0,-250.0,0.0663,1371,194600
404,-250.0,-250.0,0.066,1371,195100
405,-250.0,-250.0,0.0657,1371,195600
406,-250.0,-250.0,0.0653,1371,196100
407,-250.0,-250.0,0.065,1371,196600
408,-250.0,-250.0,0.0647,1371,197100
409,-250.0,-250.0,0.0644,1371,197600
410,-250.0,-250.0,0.064,1371,198100
411,-250.0,-250.0,0.0637,1371,198600
412,-250.0,-250.0,0.0634,1371,199100
413,-250.0,-250.0,0.0631,1371,199600
414,-250.0,-250.0,0.0628,1371,200100
415,-250.0,-250.0,0.0625,1371,200600
416,-250.0,-250.0,0.0621,1371,201100
417,-250.0,-250.0,0.0618,1371,201600
418,-250.0,-250.0,0.0615,1371,202100
419,-250.0,-250.0,0.0612,1371,202600
420,-250.0,-250.0,0.0609,1371,203100
421,-250.0,-250.0,0.0606,1371,203600
422,-250.0,-250.0,0.0603,1371,204100
423,-250.0,-250.0,0.06,1371,204600
424,-250.0,-250.0,0.0597,1371,205100
425,-250.0,-250.0,0.0594,1371,205600
426,-250.0,-250.0,0.0591,1371,206100
427,-250.0,-250.0,0.0588,1371,206600
428,-250.0,-250.0,0.0585,1371,207100
429,-250.0,-250.0,0.0582,1371,207600
430,-250.0,-250.0,0.0579,1371,208100
431,-250.0,-250.0,0.0576,1371,208600
432,-250.0,-250.0,0.0574,1371,209100
433,-250.0,-250.0,0.0571,1371,209600
434,-250.0,-250.0,0.0568,1371,210100
435,-250.0,-250.0,0.0565,1371,210600
436,-250.0,-250.0,0.0562,1371,211100
437,-250.0,-250.0,0.0559,1371,211600
